endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
12230670,SAO JOSE DOS CAMPOS,SP,SUDESTE,VALE DO PARAIBA PAULISTA
29980000,PINHEIROS,ES,SUDESTE,LITORAL NORTE ESPIRITO SANTENSE
20541340,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
21021400,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
27910110,MACAE,RJ,SUDESTE,NORTE FLUMINENSE
21910004,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
71065909,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
72901574,SANTO ANTONIO DO DESCOBERTO,GO,CENTRO-OESTE,LESTE GOIANO
08773130,MOGI DAS CRUZES,SP,SUDESTE,METROPOLITANA DE SAO PAULO
87225000,JAPURA,PR,SUL,NOROESTE PARANAENSE
36404308,CONSELHEIRO LAFAIETE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
01230020,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
79824100,DOURADOS,MS,CENTRO-OESTE,SUDOESTE DE MATO GROSSO DO SUL
63020084,JUAZEIRO DO NORTE,CE,NORDESTE,SUL CEARENSE
83404010,COLOMBO,PR,SUL,METROPOLITANA DE CURITIBA
75910048,RIO VERDE,GO,CENTRO-OESTE,SUL GOIANO
23535801,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
83075080,SAO JOSE DOS PINHAIS,PR,SUL,METROPOLITANA DE CURITIBA
89590000,ARROIO TRINTA,SC,SUL,OESTE CATARINENSE
78310000,COMODORO,MT,CENTRO-OESTE,NORTE MATO GROSSENSE
74976090,APARECIDA DE GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
87365000,QUARTO CENTENARIO,PR,SUL,CENTRO OCIDENTAL PARANAENSE
29226425,GUARAPARI,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
87160000,MANDAGUACU,PR,SUL,NORTE CENTRAL PARANAENSE
91040360,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
02072002,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
12954160,ATIBAIA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
04848000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
38444122,ARAGUARI,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
13179031,SUMARE,SP,SUDESTE,CAMPINAS
38041096,UBERABA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
66090100,BELEM,PA,NORTE,METROPOLITANA DE BELEM
78015250,CUIABA,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
28230970,SAO FRANCISCO DE ITABAPOANA,RJ,SUDESTE,NORTE FLUMINENSE
