cnpj,optante_simples,optante_simei
34822787000199,Sim,Não
34844672000103,Sim,Sim
34897728000180,Não,Não
34904272000138,Sim,Não
34909266000173,Sim,Sim
34927093000116,Sim,Sim
34933310000180,Sim,Sim
34938540000132,Sim,Sim
34968928000186,Sim,Não
34973877000180,Sim,Sim
34975279000140,Sim,Sim
34988227000109,Sim,Sim
35005208000188,Sim,Sim
35038400000170,Sim,Não
35124696000142,Sim,Sim
35154003000164,Sim,Sim
35162229000107,Sim,Sim
35268155000198,Sim,Sim
35313169000186,Sim,Sim
35326723000160,Sim,Sim
35364910000138,Sim,Não
35369673000106,Sim,Não
35381514000119,Sim,Sim
35399235000182,Sim,Sim
35402400000108,Sim,Sim
35441461000184,Sim,Sim
35478626000192,Sim,Sim
35479858000165,Sim,Sim
35503396000174,Sim,Sim
35586384000150,Sim,Sim
35614719000105,Não,Não
35632867000144,Sim,Sim
35729273000156,Sim,Não
35741295000131,Sim,Sim
35797136000159,Sim,Sim
35824684000120,Sim,Não
35843569000101,Sim,Sim
35865316000120,Sim,Não
35917664000102,Sim,Sim
35935974000141,Sim,Sim
35936365000107,Não,Não
35980428000122,Sim,Sim
35981313000152,Sim,Sim
36050141000166,Sim,Sim
36074476000114,Sim,Sim
36097493000177,Sim,Sim
36118413000112,Sim,Sim
36125132000197,Sim,Sim
36127144000150,Sim,Sim
36157096000143,Sim,Sim
36158852000159,Sim,Sim
36163853000191,Sim,Não
36175421000109,Sim,Sim
36191569000129,Sim,Não
36197533000152,Sim,Sim
36206366000169,Sim,Sim
36232561000163,Sim,Sim
36242123000186,Sim,Sim
36287971000101,Sim,Sim
36305421000178,Sim,Sim
36314032000109,Sim,Sim
36318105000130,Sim,Sim
36324781000117,Sim,Sim
36330400000102,Sim,Sim
36365067000177,Sim,Sim
36383860000107,Sim,Sim
36452374000195,Sim,Sim
36464511000101,Sim,Sim
36468781000190,Sim,Sim
36473923000108,Não informado,Não informado
36512700000102,Sim,Sim
36528397000136,Sim,Sim
36529590000191,Sim,Sim
36537805000116,Não,Não
36540386000171,Não informado,Não informado
36551469000166,Sim,Sim
36587112000138,Sim,Sim
36589710000146,Sim,Sim
36607479000176,Sim,Sim
36612368000158,Sim,Sim
36623843000191,Sim,Sim
36658601000133,Sim,Não
36660984000184,Sim,Sim
36666353000172,Sim,Não
36695645000133,Sim,Sim
36706385000154,Sim,Sim
36743346000127,Sim,Sim
36761122000148,Sim,Sim
36763868000190,Sim,Não
36774442000132,Não,Não
36793682000184,Sim,Sim
36839235000119,Sim,Sim
36870142000157,Sim,Sim
36882202000151,Sim,Sim
36889925000182,Sim,Sim
36906290000184,Não,Não
36909733000190,Sim,Sim
36947201000148,Sim,Sim
36950726000132,Não,Não
36983547000100,Sim,Sim
37092245000104,Sim,Sim
37118515000109,Sim,Sim
37134636000136,Sim,Sim
37138297000166,Sim,Sim
37138785000173,Sim,Sim
37144734000154,Sim,Sim
37153024000190,Sim,Sim
37167672000104,Sim,Não
37168484000192,Sim,Não
37189889000450,Não informado,Não informado
37191288000139,Sim,Não
37227502000160,Sim,Sim
37248186000102,Sim,Sim
37265981000109,Sim,Sim
37294858000116,Sim,Não
37311108000105,Não,Não
37319697000178,Sim,Sim
37354368000168,Sim,Sim
37373389000120,Sim,Sim
37387518000130,Sim,Sim
37390365000180,Sim,Sim
37396073000154,Sim,Sim
37415161000237,Não informado,Não informado
37429760000129,Sim,Sim
37441675000186,Não informado,Não informado
37481940000150,Sim,Sim
37482672000190,Sim,Sim
37499101000169,Sim,Sim
37501090000104,Sim,Não
37554918000192,Sim,Não
37599302000138,Sim,Sim
37658378000197,Sim,Não
37672198000160,Sim,Sim
37682133000103,Sim,Sim
37693907000193,Sim,Sim
37707299000129,Sim,Sim
37720454000147,Sim,Sim
37726919000177,Sim,Sim
37755937000187,Sim,Sim
37796809000181,Sim,Sim
37865118000192,Sim,Sim
37896825000146,Sim,Sim
37897668000193,Sim,Não
37902518000120,Não informado,Não informado
37904990000100,Sim,Sim
37908854000180,Sim,Sim
38017160000116,Sim,Sim
38059854000116,Sim,Sim
38060379000106,Sim,Sim
38076077000118,Sim,Não
38084561000199,Sim,Não
38099832000180,Sim,Não
38107857000188,Sim,Sim
38139584000153,Sim,Sim
38160295000136,Sim,Sim
38161024000103,Sim,Sim
38168107000116,Sim,Sim
38193436000117,Sim,Não
38313130000157,Não informado,Não informado
38315733000198,Sim,Sim
38353747000104,Sim,Sim
38367379000145,Sim,Sim
38409911000140,Sim,Sim
38453159000134,Sim,Sim
38457137000142,Sim,Não
38498137000190,Sim,Sim
38539966000174,Sim,Sim
38662999000107,Sim,Sim
39154329000142,Sim,Sim
39229677000131,Sim,Sim
39258846000161,Sim,Sim
39287390000168,Sim,Não
39299268000101,Sim,Não
39309160000152,Sim,Sim
39316254000159,Não informado,Não informado
39353227000156,Sim,Sim
39404254000100,Sim,Não
39447591000185,Sim,Sim
39461552000132,Sim,Sim
39465123000133,Sim,Sim
39465712000111,Sim,Sim
39466466000112,Sim,Sim
39484812000195,Não informado,Não informado
39499548000163,Sim,Sim
39502696000190,Sim,Sim
39525645000183,Sim,Sim
39539504000110,Sim,Sim
39584882000115,Sim,Não
39618845000180,Sim,Sim
39691599000192,Sim,Sim
39729042000101,Sim,Sim
39803229000108,Sim,Sim
39806358000141,Não informado,Não informado
39863377000100,Sim,Sim
39906357000179,Sim,Não
40005603000109,Sim,Sim
40009757000160,Sim,Não
40017037000147,Sim,Sim
40042317000105,Sim,Sim
40050076000146,Sim,Sim
40055732000101,Sim,Sim
40066000000109,Sim,Sim
40066547000104,Não informado,Não informado
40110931000167,Sim,Não
40134774000120,Sim,Sim
40161438000176,Sim,Sim
40169110000104,Sim,Sim
40170169000104,Sim,Não
40214537000179,Sim,Sim
40220039000139,Sim,Sim
40222306000107,Sim,Sim
40238746000152,Sim,Sim
40247928000190,Sim,Não
40252869000148,Sim,Sim
40258338000162,Sim,Sim
40270873000139,Sim,Sim
40294979000172,Sim,Sim
40300370000169,Sim,Sim
40304754000150,Sim,Sim
40313141000189,Sim,Sim
40427199000153,Sim,Sim
40453075000142,Sim,Sim
40487052000159,Sim,Sim
40488875000107,Sim,Sim
40503201000126,Sim,Não
40517811000189,Sim,Sim
40543080000146,Sim,Sim
40553541000161,Sim,Sim
40561166000100,Sim,Sim
40585113000110,Sim,Sim
40602149000165,Sim,Sim
40609533000190,Sim,Sim
40614483000139,Sim,Sim
40637638000152,Sim,Sim
40699247000162,Sim,Não
40700096000115,Sim,Sim
40730341000137,Sim,Sim
40746722000104,Sim,Sim
40776461000175,Sim,Sim
40790440000104,Sim,Sim
40846666000180,Sim,Sim
40900788000107,Sim,Sim
40922761000115,Sim,Sim
40931565000107,Sim,Sim
40953608000155,Sim,Não
40975244000104,Sim,Sim
40984215000109,Sim,Sim
41021226000156,Sim,Sim
41023269000170,Sim,Sim
41074959000159,Sim,Sim
41084539000153,Sim,Sim
41110224000133,Sim,Não
41114912000171,Sim,Sim
41149861000113,Sim,Sim
41207266000197,Sim,Sim
41220506000193,Sim,Sim
41236580000106,Sim,Sim
41246119000126,Sim,Não
41250753000132,Não informado,Não informado
41277499000166,Sim,Sim
41307592000176,Sim,Não
41329626000123,Sim,Sim
41392539000110,Sim,Sim
41421690000130,Sim,Sim
41514786000142,Não informado,Não informado
41554245000148,Sim,Sim
41571315000176,Sim,Sim
41571957000175,Sim,Sim
41632626000106,Sim,Sim
41655068000196,Sim,Sim
41728204000120,Sim,Sim
41730619000139,Sim,Sim
41745791000166,Sim,Sim
41758034000127,Sim,Sim
41758149000111,Sim,Sim
41766112000135,Sim,Sim
41772633000103,Sim,Não
41792642000158,Sim,Não
41800139000105,Sim,Não
41813684000128,Não,Não
41846039000101,Sim,Sim
41847101000180,Sim,Sim
41848982000153,Sim,Sim
41850854000144,Sim,Sim
41881559000155,Sim,Sim
41890137000146,Sim,Sim
41892252000150,Sim,Sim
41897731000169,Sim,Não
41904783000115,Sim,Não
41927840000181,Sim,Não
41937850000106,Sim,Não
41941083000109,Sim,Não
41957517000150,Sim,Não
41980005000105,Sim,Sim
41986828000148,Sim,Sim
42000038000104,Sim,Não
42015343000170,Sim,Sim
42026683000104,Sim,Sim
42030699000182,Não informado,Não informado
42058758000120,Sim,Sim
42102811000143,Sim,Sim
42118076000166,Sim,Sim
42141422000127,Sim,Sim
42158273000109,Sim,Sim
42158666000112,Sim,Sim
42165035000120,Não,Não
42170250000110,Sim,Sim
42173857000153,Sim,Não
42189181000196,Sim,Não
42225245000167,Sim,Sim
42237064000150,Sim,Sim
42319023000103,Sim,Não
42334572000157,Sim,Não
42432689000173,Sim,Sim
42519549000137,Sim,Não
42580152000150,Sim,Não
42601363000122,Sim,Sim
42619153000161,Sim,Sim
42633942000157,Sim,Não
