cnpj,saude_tributaria
24615804000163,CINZA
24641977000156,CINZA
24647060000169,CINZA
24676539000123,VERDE
24693338000134,CINZA
24714782000199,CINZA
24722405000100,VERDE
24734022000143,CINZA
24740616000167,CINZA
24796180000128,CINZA
24828247000169,CINZA
24928930000178,CINZA
24935116000180,CINZA
24943552000100,CINZA
24949852000198,CINZA
24969346000160,CINZA
24990777000109,CINZA
24991795000105,CINZA
24996042000192,CINZA
24996645000194,CINZA
25086234000124,CINZA
25094635000126,VERDE
25095946000100,CINZA
25119534000162,CINZA
25139012000122,CINZA
25187752000134,CINZA
25211431000128,CINZA
25241600000172,CINZA
25302613000104,CINZA
25425527000199,CINZA
26160250000182,CINZA
26161864000189,CINZA
26167931000172,CINZA
26172225000119,CINZA
26206663000150,CINZA
26226883000146,CINZA
26279946000122,CINZA
26325996000107,CINZA
26345987000170,CINZA
26404731036972,VERDE
26437565000124,CINZA
26462693000128,CINZA
26511145000140,CINZA
26569444000136,CINZA
26592110000183,CINZA
26595380000148,CINZA
26613127000170,CINZA
26675941000119,CINZA
26749654000106,CINZA
26771275000112,CINZA
26837927000174,CINZA
26849177000150,CINZA
26857145000105,CINZA
26888696000128,CINZA
26919141000104,CINZA
26951409000187,CINZA
26981733000148,VERDE
26992371000190,CINZA
26997435000146,CINZA
27048148000152,CINZA
27078329000121,CINZA
27079485000107,CINZA
27091017000158,CINZA
27093558000115,VERMELHO
27101611000182,VERDE
27184980000186,CINZA
27188615000140,CINZA
27211830000114,CINZA
27314894000140,CINZA
27329686000115,CINZA
27364639000102,CINZA
27373811000194,CINZA
27398039000165,VERMELHO
27400207000100,CINZA
27482598000159,CINZA
27507915000144,CINZA
27512045000100,CINZA
27516078000110,CINZA
27542165000141,CINZA
27619693000151,CINZA
27651179000101,CINZA
27701786000120,CINZA
27750570000155,CINZA
27765356000172,CINZA
27891288000198,CINZA
27909824000135,CINZA
27969063000107,CINZA
28033634000160,CINZA
28043563000186,VERDE
28050380000198,CINZA
28080733000100,CINZA
28091333000192,CINZA
28204615000159,CINZA
28210116000174,CINZA
28249189000170,CINZA
28260682000190,CINZA
28328762000130,CINZA
28362175000168,CINZA
28364888000160,CINZA
28405602000148,CINZA
28417585000169,CINZA
28454731000126,CINZA
28460666000141,CINZA
28464432000172,CINZA
28478589000157,CINZA
28480921000118,CINZA
28493291000116,VERDE
28495295000133,CINZA
28517362000173,CINZA
28542548000182,CINZA
28599039000196,CINZA
28610147000112,CINZA
28736813000163,CINZA
28762712000167,CINZA
28778284000160,CINZA
28788028000154,CINZA
28888512000155,CINZA
28908834000119,CINZA
28924485000129,CINZA
28965577000157,CINZA
28972959000108,CINZA
28995259000139,CINZA
29048148000188,CINZA
29063262000187,CINZA
29072904000104,CINZA
29117364000138,CINZA
29170431000188,CINZA
29183386000104,CINZA
29198152000122,CINZA
29217373000109,CINZA
29225385000177,CINZA
29307486000197,CINZA
29318768000190,CINZA
29375306000104,CINZA
29539967000128,CINZA
29625454000130,CINZA
29648815000163,CINZA
29654488000152,CINZA
29701269000187,CINZA
29734971000147,CINZA
29748739000168,CINZA
29789382000166,CINZA
29813253000166,CINZA
29843584000149,CINZA
29861393000100,CINZA
29870777000199,CINZA
29899157000182,CINZA
29997472000142,CINZA
30030707000101,CINZA
30053365000145,CINZA
30064595000100,CINZA
30072473000165,CINZA
30072724000101,CINZA
30077215000171,CINZA
30091106000109,CINZA
30096023000102,CINZA
30097548000162,CINZA
30110444000140,CINZA
30149155000155,CINZA
30171778000124,CINZA
30179215000182,CINZA
30186196000111,CINZA
30197114000134,CINZA
30310374000174,CINZA
30363942000103,CINZA
30372930000137,CINZA
30384120000109,CINZA
30426667000111,CINZA
30426771000106,CINZA
30552971000105,CINZA
30572989000179,CINZA
30615453000193,CINZA
30643112000121,CINZA
30711383000177,VERMELHO
30721888000112,CINZA
30767580000108,CINZA
30825366000160,CINZA
30838984000145,CINZA
30839243000189,CINZA
30864737000113,CINZA
30886486000178,CINZA
30902803115340,CINZA
30912013000289,CINZA
30913216000109,CINZA
30915777000147,CINZA
30949422000179,CINZA
30963362000149,CINZA
30972476000155,CINZA
31000596000153,CINZA
31076015000167,CINZA
31083980000167,CINZA
31110720000133,CINZA
31160130000115,CINZA
31170577000175,CINZA
31202819000165,CINZA
31280650000161,CINZA
31291203000108,CINZA
31298043000129,CINZA
31385611000129,CINZA
31442208000194,CINZA
31484105000197,CINZA
31535993000120,CINZA
31548271000100,CINZA
31625149000190,CINZA
31800919000193,CINZA
31908009000129,CINZA
31920513000144,CINZA
31927854000141,CINZA
31932960000113,CINZA
31950373000157,CINZA
31968737000126,CINZA
32057498000115,CINZA
32078812000146,CINZA
32112587000117,CINZA
32152066000193,CINZA
32222246000102,CINZA
32276221000183,CINZA
32286827000108,CINZA
32296793000124,CINZA
32353309000151,CINZA
32366247000112,CINZA
32370083000105,CINZA
32376110000149,CINZA
32379450000123,CINZA
32391803000100,CINZA
32409488000100,CINZA
32446801000171,CINZA
32491856000101,CINZA
32501008000128,CINZA
32551344000185,CINZA
32572555000102,CINZA
32597362000106,CINZA
32614064000179,CINZA
32636891000163,CINZA
32676796000193,CINZA
32678683000127,CINZA
32680769000194,CINZA
32753244000131,CINZA
32756864000124,CINZA
32785497000197,CINZA
32845590000140,CINZA
32926023000118,CINZA
32947669000181,CINZA
32964586000109,CINZA
32977105000191,CINZA
32991557000128,CINZA
33000321000145,CINZA
33001234000102,CINZA
33041260065290,VERMELHO
33041260110938,CINZA
33042730000104,VERMELHO
33068505000147,CINZA
33107531000137,CINZA
33108158000139,CINZA
33113309000147,VERDE
33161129000130,CINZA
33176001000140,CINZA
33200049000147,VERMELHO
33260157000105,CINZA
33316446000189,CINZA
33321221000110,CINZA
33328661000108,CINZA
33350428000113,CINZA
33351441000197,CINZA
33356120000185,CINZA
33376989000191,CINZA
33386210000119,VERMELHO
33387798000125,CINZA
33434554000156,CINZA
33472766000128,CINZA
33490109000103,CINZA
33495402000163,CINZA
33506222000130,CINZA
33607075000194,CINZA
33628134000100,CINZA
33640494000128,CINZA
33664610000149,CINZA
33692728000180,CINZA
33697118000170,CINZA
33744795000100,CINZA
33790050000179,CINZA
33800508000123,CINZA
33805373000199,CINZA
33823497000105,CINZA
33877315000170,CINZA
33884670000177,CINZA
33889913000160,CINZA
33948785000188,CINZA
33984894000150,CINZA
33997228000157,CINZA
33998201000189,CINZA
34002257000102,CINZA
34039164000144,CINZA
34053656000194,CINZA
34063340000183,CINZA
34085111000160,CINZA
34097044000101,CINZA
34144256000194,CINZA
34155403000121,CINZA
34169762000138,CINZA
34177837000122,CINZA
34181617000172,CINZA
34207823000104,CINZA
34218992000140,CINZA
34219628000102,CINZA
34222988000155,CINZA
34226013000103,CINZA
34230574000178,CINZA
34274233000102,AMARELA
34282956000145,CINZA
34298041000128,CINZA
34308094000182,CINZA
34331370000123,CINZA
34343441000108,CINZA
34361011000119,CINZA
34421378000180,CINZA
34424012000165,CINZA
34456891000107,CINZA
34486596000101,CINZA
34524034000105,CINZA
34536323000116,CINZA
34539649000105,CINZA
34563467000161,CINZA
34566022000135,CINZA
34571919000157,CINZA
34584347000140,CINZA
34598719000198,CINZA
34682613000178,CINZA
34722662000197,CINZA
34733251000105,CINZA
34736780000154,CINZA
34749905000180,CINZA
34783405000165,CINZA
34807297000113,CINZA
34815866000172,CINZA
34816722000130,CINZA
34833924000190,CINZA
34888106000195,CINZA
34905765000192,CINZA
34912699000188,CINZA
34923968000101,CINZA
34936725000108,CINZA
34945443000177,CINZA
34979215000118,CINZA
35026123000186,CINZA
35027178000100,CINZA
35033220000104,CINZA
35094041000179,CINZA
35143211000168,CINZA
35156018000161,CINZA
35172950000188,CINZA
35181090000149,CINZA
35188206000171,CINZA
35202561000158,CINZA
35205953000170,CINZA
35244076000147,CINZA
35260481000159,CINZA
35265137000152,CINZA
35267754000197,CINZA
35275815000168,CINZA
35301535000187,CINZA
35332021000199,CINZA
35333183000141,CINZA
35367229000143,CINZA
35394908000101,CINZA
35493647000187,CINZA
35505127000147,CINZA
35585749000122,CINZA
35585886000167,CINZA
35690597000128,CINZA
35791391000194,VERDE
35793778000180,CINZA
35803577000116,CINZA
35804320000189,CINZA
35823300000155,CINZA
35881619000137,CINZA
35923617000163,CINZA
35960710000148,CINZA
35961761000194,CINZA
35990033000100,CINZA
36005541000150,CINZA
36018411000151,CINZA
36033357000113,CINZA
36057582000190,CINZA
36078730000152,CINZA
36084893000148,CINZA
36107294000100,CINZA
36124056000103,CINZA
36142129000181,CINZA
36159055000196,CINZA
36162415000109,CINZA
36193994000157,CINZA
36213349000159,CINZA
36213497000173,CINZA
36249373000148,CINZA
36272343000152,CINZA
36279678000100,CINZA
36298004000145,CINZA
36298089000161,CINZA
36301392000176,CINZA
36307200000139,CINZA
36321176000192,CINZA
36352705000115,CINZA
36353358000145,CINZA
36357666000149,CINZA
36385587000141,CINZA
36386706000180,CINZA
36416904000140,CINZA
36439630000104,CINZA
36450270000141,CINZA
36461206000166,CINZA
36477039000141,CINZA
36494770000185,CINZA
36515886000153,CINZA
36523431000180,CINZA
36523480000112,CINZA
36542025000164,AMARELA
36545256000121,CINZA
36576623000154,CINZA
36615431000100,CINZA
36618172000170,CINZA
36661282000115,CINZA
36705059000122,CINZA
36710314000125,CINZA
36711201000144,CINZA
